"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"R8H";"820";"SMD_Widerstand_0603";"44.8000";"-32.8000";"180";"TopLayer"
"S1A";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-44.7925";"31.5000";"90";"TopLayer"
"S2A";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-44.7925";"9.5000";"90";"TopLayer"
"S3A";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-44.7925";"-12.5000";"90";"TopLayer"
"S4A";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-44.7925";"-34.5000";"90";"TopLayer"
"S1B";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-30.7925";"31.5000";"90";"TopLayer"
"S2B";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-30.7925";"9.5000";"90";"TopLayer"
"S3B";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-30.7925";"-12.5000";"90";"TopLayer"
"S4B";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-30.7925";"-34.5000";"90";"TopLayer"
"S1C";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-16.7925";"31.5000";"90";"TopLayer"
"S2C";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-16.7925";"9.5000";"90";"TopLayer"
"S3C";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-16.7925";"-12.5000";"90";"TopLayer"
"S4C";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-16.7925";"-34.5000";"90";"TopLayer"
"S1D";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-2.7925";"31.5000";"90";"TopLayer"
"S2D";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-2.7925";"9.5000";"90";"TopLayer"
"S3D";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-2.7925";"-12.5000";"90";"TopLayer"
"S4D";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"-2.7925";"-34.5000";"90";"TopLayer"
"S1E";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"11.2075";"31.5000";"90";"TopLayer"
"S2E";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"11.2075";"9.5000";"90";"TopLayer"
"S3E";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"11.2075";"-12.5000";"90";"TopLayer"
"S4E";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"11.2075";"-34.5000";"90";"TopLayer"
"S1F";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"25.2075";"31.5000";"90";"TopLayer"
